f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,label
4,0,0,0,0.006147,-1,-1,-940,0,0,0,0,3.96,0.01,506.00,5.3,50.0,10,52.0,45.0,506,0,0,0,0,64,1004,1,7,1,0,0,1,0,29,68,0,0,1,0.250,1.000,1,107,1
4,0,0,0,0.006147,-1,-1,-947,0,0,0,0,3.85,0.00,465.00,5.3,50.0,9,52.0,41.0,465,0,0,0,2,57,1004,1,7,0,0,0,1,1,31,86,0,0,0,0.222,1.000,1,107,1
10,0,0,0,0.005455,-1,-1,-321,0,0,0,0,4.28,0.00,0.03,4.9,43.0,10,57.0,84.0,9,296,0,0,3,5,326,0,187,1,0,0,1,0,139,99,0,0,0,0.333,1.000,1,-1,1
10,0,0,0,0.005455,-1,-1,-136,0,0,0,0,4.31,0.13,0.02,5.3,45.0,9,58.0,81.0,234,12852,0,0,2,190,326,0,187,1,0,0,1,2,55,93,0,0,0,0.333,1.000,1,-1,1
10,0,0,0,0.005455,-1,-1,-139,0,0,0,0,4.25,0.05,0.01,5.3,45.0,8,58.0,82.0,48,4457,0,0,2,187,326,0,187,1,0,0,1,0,35,96,0,0,0,0.333,1.000,1,-1,1
9,0,0,0,0.7245,-1,-1,-3928,0,0,0,0,3.06,0.11,0.10,4.0,25.0,6,35.0,76.0,1006,9735,0,0,3,411,4339,0,-1,1,0,0,0,1,219,86,0,0,1,0.308,1.000,1,-1,1
10,0,0,0,0.0,-1,-1,-630,0,0,0,0,3.50,0.02,0.00,4.3,26.0,6,62.0,72.0,0,1953,0,0,1,57,687,0,8,1,0,0,0,0,18,87,0,0,0,0.364,1.000,1,-1,1
10,0,0,0,0.0,-1,-1,-631,0,0,0,0,3.77,0.00,10.00,4.3,32.0,6,69.0,75.0,10,0,0,0,1,56,687,0,8,1,0,0,0,0,12,93,0,0,0,0.364,1.000,1,-1,1
10,0,0,0,0.0,-1,-1,-680,0,0,0,0,3.49,0.00,0.00,4.2,25.0,6,63.0,73.0,0,0,0,0,1,7,687,0,8,1,0,0,0,0,23,89,0,0,0,0.231,1.000,1,-1,1
3,1,0,1,0.004081,1,1,79,0,1,0,0,4.71,1.77,0.07,5.2,50.0,11,75.0,75.0,70895,1002928,0,0,0,132,53,2,132,0,0,1,1,175,54,94,0,1,0,0.111,1.000,1,112,1
3,1,0,1,0.004081,1,1,316,0,1,0,0,4.44,2.07,0.08,5.2,50.0,6,77.0,77.0,100000,1295500,0,0,3,369,53,2,132,1,0,0,1,213,152,87,0,0,0,0.067,1.000,1,112,1
5,0,0,0,0.0422,-1,-1,-11,0,0,0,0,4.74,0.06,0.00,5.6,50.0,15,52.0,78.0,10,5714,0,0,0,4,15,5,4,1,0,0,0,6,16,0,0,0,0,1.000,1.000,1,-1,1
5,0,0,0,0.221358,-1,-1,94,0,0,0,0,4.25,0.92,0.04,4.8,50.0,6,63.0,86.0,3406,87867,0,0,3,341,247,0,4,1,0,0,0,31,172,88,0,0,0,0.167,1.000,1,109,1
5,0,0,0,0.221358,-1,-1,-243,0,0,0,0,4.09,0.03,0.05,4.8,50.0,11,63.0,44.0,122,2368,0,0,1,4,247,0,4,1,0,0,1,6,50,85,0,0,1,0.250,1.000,1,109,1
5,0,0,0,0.221358,-1,-1,-244,0,0,0,0,4.38,0.00,5.00,5.5,50.0,15,57.0,43.0,45,9,0,0,2,3,247,0,4,1,0,0,0,4,13,84,0,0,0,0.667,1.000,1,109,1
4,0,1,1,0.001141,4,2,-121,0,0,0,0,4.45,0.02,0.03,5.5,50.0,7,63.0,86.0,59,1904,0,0,3,4,125,1,3,0,0,0,1,3,81,85,0,0,0,0.286,1.000,1,107,1
4,0,1,1,0.001141,4,2,-120,0,0,0,0,3.70,0.00,0.00,4.8,50.0,5,63.0,45.0,0,0,0,0,1,5,125,1,3,0,0,0,1,3,24,88,0,0,0,0.286,1.000,1,107,1
4,0,1,1,0.001141,4,2,-121,0,0,0,0,4.18,0.20,0.03,5.2,50.0,7,52.0,82.0,565,19411,0,0,3,4,125,1,3,0,0,0,1,3,266,94,0,0,0,0.143,1.000,1,107,1
8,0,1,1,0.00465,-1,-1,270,0,0,0,0,3.86,0.68,0.01,4.2,50.0,5,52.0,82.0,655,67526,0,0,3,383,113,3,383,0,0,0,0,5,32,96,0,0,0,0.286,1.000,1,-1,1
6,0,0,0,0.009468,-1,-1,-700,0,0,0,0,4.14,0.03,0.19,5.3,50.0,8,57.0,65.0,477,2476,0,0,0,66,766,2,25,1,0,1,1,10,17,90,0,0,0,0.375,1.000,1,113,1
6,0,0,0,0.009468,-1,-1,-545,0,0,0,0,4.32,0.03,0.16,5.5,50.0,11,56.0,62.0,465,2865,0,0,2,221,766,2,25,1,0,0,1,2,75,89,0,0,1,0.600,1.000,1,113,1
6,0,0,0,0.009468,-1,-1,-750,0,0,0,0,4.54,0.08,0.02,5.6,50.0,15,63.0,47.0,193,8194,0,0,2,16,766,2,25,0,0,0,0,2,81,90,0,0,0,1.000,1.000,1,113,1
6,0,0,0,0.179728,-1,-1,-1012,0,0,0,0,4.40,0.08,0.03,5.4,50.0,9,55.0,83.0,204,7772,0,0,3,66,1078,2,66,1,0,0,1,2,69,90,0,0,0,0.231,1.000,1,111,1
6,0,0,0,0.179728,-1,-1,-794,0,0,0,0,4.87,0.03,0.02,5.6,50.0,15,57.0,83.0,48,2789,0,0,2,284,1078,2,66,0,0,0,1,0,43,88,0,0,1,1.000,1.000,1,111,1
6,0,0,0,0.179728,-1,-1,-1030,0,0,0,0,3.41,0.02,0.12,4.1,23.0,8,47.0,81.0,162,1345,0,0,3,48,1078,2,66,0,0,0,0,3,50,96,0,0,0,0.118,1.000,1,111,1
4,0,0,0,8.55E-4,-1,-1,76,0,0,0,0,3.63,0.14,0.01,5.3,50.0,2,52.0,62.0,103,13482,0,0,1,244,168,1,-1,1,0,0,1,2,63,88,0,0,0,0.182,0.667,1,-1,1
4,0,0,0,8.55E-4,-1,-1,-132,0,0,0,0,3.67,0.01,364.00,4.9,42.0,5,58.0,61.0,364,0,0,0,2,36,168,1,-1,1,0,1,0,30,39,82,0,0,0,0.375,0.667,1,-1,1
10,0,0,0,0.061066,0,7,-50,0,1,0,0,3.27,0.35,0.01,4.3,23.0,11,33.0,67.0,380,34985,0,0,0,17,67,0,104,1,0,0,1,4,8,26,0,0,0,0.333,1.000,1,-1,1
6,0,0,0,0.945861,-1,-1,-1811,0,0,0,0,4.45,0.00,0.00,4.9,50.0,12,63.0,67.0,0,0,0,0,1,19,1830,0,19,0,0,0,1,3,10,88,0,0,0,0.429,1.000,1,107,1
6,0,0,0,0.945861,-1,-1,-1830,0,0,0,0,4.66,0.06,0.00,5.4,50.0,14,63.0,66.0,0,5997,0,0,2,0,1830,0,19,1,0,0,1,2,16,87,0,0,0,0.400,1.000,1,107,1
6,0,0,0,0.945861,-1,-1,-1781,0,0,0,0,4.36,0.20,0.04,5.5,50.0,11,57.0,64.0,800,18933,0,0,2,49,1830,0,19,0,0,0,1,5,23,93,0,0,0,0.600,1.000,1,107,1
10,0,0,0,0.061066,0,7,-50,0,1,0,0,3.27,0.35,0.01,4.3,23.0,11,33.0,67.0,380,34985,0,0,0,17,67,0,104,1,0,0,1,4,8,26,0,0,0,0.333,1.000,1,-1,1
6,0,0,0,0.945861,-1,-1,-1793,0,0,0,0,4.45,0.00,0.00,4.9,50.0,12,63.0,67.0,0,0,0,0,1,19,1812,0,19,0,0,0,1,3,10,88,0,0,0,0.429,1.000,1,107,1
6,0,0,0,0.945861,-1,-1,-1812,0,0,0,0,4.66,0.06,0.00,5.4,50.0,14,63.0,66.0,0,5997,0,0,2,0,1812,0,19,1,0,0,1,2,16,87,0,0,0,0.400,1.000,1,107,1
6,0,0,0,0.945861,-1,-1,-1763,0,0,0,0,4.36,0.20,0.04,5.5,50.0,11,57.0,64.0,800,18933,0,0,2,49,1812,0,19,0,0,0,1,5,23,93,0,0,0,0.600,1.000,1,107,1
7,0,0,0,0.148932,-1,-1,-270,0,0,0,0,4.52,1.01,0.01,5.0,50.0,12,66.0,68.0,1012,162684,0,0,2,101,371,0,74,1,0,0,0,1,59,92,0,0,0,0.500,1.000,1,104,1
7,0,0,0,0.148932,-1,-1,-326,0,0,0,0,4.07,0.08,0.00,5.1,45.0,9,55.0,68.0,0,8205,0,0,0,45,371,0,74,0,0,1,1,0,18,89,0,0,0,0.250,1.000,1,104,1
4,0,0,0,0.001259,-1,-1,-458,0,0,0,0,4.19,0.46,0.03,4.7,50.0,6,61.0,85.0,1495,44060,0,0,1,45,503,0,748,0,0,0,0,5,11,92,0,0,0,0.273,1.000,1,101,1
7,0,0,0,0.148932,-1,-1,-270,0,0,0,0,4.52,1.01,0.01,5.0,50.0,12,66.0,68.0,1012,162684,0,0,2,101,371,0,74,1,0,0,0,1,59,92,0,0,0,0.500,1.000,1,104,1
7,0,0,0,0.148932,-1,-1,-326,0,0,0,0,4.07,0.08,0.00,5.1,45.0,9,55.0,68.0,0,8205,0,0,0,45,371,0,74,0,0,1,1,0,18,89,0,0,0,0.250,1.000,1,104,1
4,0,0,0,0.001259,-1,-1,-458,0,0,0,0,4.19,0.46,0.03,4.7,50.0,6,61.0,85.0,1495,44060,0,0,1,45,503,0,748,0,0,0,0,5,11,92,0,0,0,0.273,1.000,1,101,1
4,0,0,0,0.005463,-1,-1,-326,0,0,0,0,4.49,0.15,0.00,5.3,50.0,9,62.0,83.0,45,15006,0,0,2,5,331,2,67,1,0,0,0,2,54,86,0,0,0,0.167,1.000,1,-1,1
4,0,0,0,0.005463,-1,-1,-284,0,0,0,0,4.15,0.17,0.19,4.7,50.0,5,63.0,84.0,2704,13956,0,0,2,47,331,2,67,1,0,0,1,3,113,86,0,0,0,0.222,1.000,1,-1,1
4,0,0,0,0.005463,-1,-1,-264,0,0,0,0,4.45,0.02,0.01,5.3,50.0,8,63.0,84.0,12,2100,0,0,2,67,331,2,67,1,0,0,1,0,41,88,0,0,0,0.167,1.000,1,-1,1
2,0,1,1,3.26E-4,6,5,-58,0,0,1,0,4.36,1.24,0.02,5.2,50.0,4,79.0,79.0,21294,1381847,0,0,2,6,64,4,3,1,0,0,1,69,91,93,0,0,0,0.111,1.000,1,110,1
2,0,1,1,3.26E-4,6,5,-58,0,0,1,0,4.83,0.88,0.01,5.3,50.0,10,80.0,82.0,800,87283,0,0,0,6,64,4,3,1,0,0,0,10,20,87,0,0,0,0.250,1.000,1,110,1
2,0,1,1,3.26E-4,6,5,-58,0,0,1,0,4.36,1.24,0.02,5.2,50.0,4,79.0,79.0,21294,1381847,0,0,2,6,64,3,3,1,0,0,1,69,91,93,0,0,0,0.111,1.000,1,110,1
2,0,1,1,3.26E-4,6,5,-58,0,0,1,0,4.83,0.88,0.01,5.3,50.0,10,80.0,82.0,800,87283,0,0,0,6,64,3,3,1,0,0,0,10,20,87,0,0,0,0.250,1.000,1,110,1
4,0,0,0,0.187344,2,2,-3,0,1,0,0,4.40,1.26,0.13,4.6,50.0,8,67.0,85.0,23829,185186,0,0,3,5,8,2,5,1,0,0,0,74,64,84,0,0,0,0.200,1.000,1,110,1
4,0,0,0,0.187344,2,2,-1,0,1,0,0,3.56,0.00,0.00,5.0,50.0,5,52.0,44.0,0,0,0,0,0,7,8,2,5,0,0,1,1,0,14,70,0,0,0,0.222,1.000,1,110,1
4,0,0,0,0.187344,2,2,-3,0,1,0,0,4.27,1.20,0.05,4.7,50.0,6,66.0,85.0,15264,307852,0,0,3,5,8,2,5,1,0,1,0,146,141,84,0,0,0,0.267,1.000,1,110,1
8,0,0,0,0.161071,1,0,-5,1,1,0,0,4.33,0.01,0.00,5.4,50.0,10,62.0,62.0,4,998,0,0,2,1,6,2,4,1,0,0,1,0,98,89,0,0,0,0.429,1.000,1,-1,1
8,0,0,0,0.161071,1,0,-2,1,1,0,0,3.74,0.41,0.02,5.2,50.0,7,52.0,45.0,682,39383,0,0,2,4,6,2,4,1,0,0,1,15,242,95,0,0,0,0.214,1.000,1,-1,1
8,0,0,0,0.161071,1,0,-1,1,1,0,0,4.04,0.01,0.17,4.8,50.0,5,55.0,84.0,131,756,0,0,3,5,6,2,4,1,0,0,1,1,204,91,0,0,0,0.250,1.000,1,-1,1
2,0,0,0,5.16E-4,-1,-1,-76,0,0,0,0,4.45,1.55,0.21,4.6,50.0,7,79.0,79.0,53508,252943,0,0,3,56,132,3,67,1,0,1,1,40,62,88,0,0,0,0.100,1.000,1,105,1
2,0,0,0,5.16E-4,-1,-1,-76,0,0,0,0,4.34,0.16,60.28,5.2,50.0,7,71.0,71.0,14587,242,0,0,2,56,132,3,67,1,0,0,0,32,29,82,0,0,1,0.100,1.000,1,105,1
5,0,0,0,0.41168,-1,-1,-1002,0,0,0,0,4.24,0.00,146.00,4.8,47.0,8,61.0,81.0,146,0,0,0,2,6,1008,0,7,1,0,0,1,0,141,96,0,0,0,0.167,1.000,1,112,1
5,0,0,0,0.41168,-1,-1,-1001,0,0,0,0,3.85,0.00,341.00,4.5,47.0,4,56.0,82.0,341,0,0,0,3,7,1008,0,7,1,0,0,1,0,124,86,0,0,0,0.167,1.000,1,112,1
5,0,0,0,0.41168,-1,-1,-983,0,0,0,0,4.14,0.01,512.00,5.2,50.0,7,52.0,79.0,512,0,0,0,2,25,1008,0,7,1,0,0,1,0,376,90,0,0,0,0.133,1.000,1,112,1
4,0,0,0,0.009837,1,3,-183,0,1,0,0,4.20,0.11,0.02,4.8,50.0,7,57.0,84.0,192,11172,0,0,1,2,185,4,56,1,0,0,1,0,19,84,0,0,1,0.333,1.000,1,-1,1
4,0,0,0,0.009837,1,3,-129,0,1,0,0,3.86,0.10,0.09,4.9,35.0,8,50.0,82.0,809,9259,0,0,2,56,185,4,56,0,0,0,0,4,34,88,0,0,0,0.500,1.000,1,-1,1
4,0,0,0,0.009837,1,3,-166,0,1,0,0,3.78,0.27,0.39,4.8,30.0,10,47.0,78.0,7489,19448,0,0,1,19,185,4,56,1,0,0,1,2,23,91,0,0,1,0.333,1.000,1,-1,1
2,1,0,1,0.01059,-1,5,-463,0,0,0,0,4.90,0.07,0.26,5.4,50.0,11,80.0,81.0,1276,4862,0,0,3,307,770,2,304,1,0,0,0,39,29,96,0,0,0,0.125,1.000,1,107,1
2,1,0,1,0.01059,-1,5,-399,0,0,0,0,5.24,0.96,0.03,5.5,50.0,15,80.0,86.0,2968,92239,0,0,3,371,770,2,304,0,0,0,0,23,77,88,0,0,0,0.333,1.000,1,107,1
2,1,0,1,0.01059,-1,5,-433,0,0,0,0,4.35,0.37,0.04,4.5,50.0,7,76.0,76.0,1508,35071,0,0,2,337,770,2,304,1,0,0,0,10,40,87,0,0,0,0.071,1.000,1,107,1
4,0,0,0,0.009837,1,3,-183,0,1,0,0,4.20,0.11,0.02,4.8,50.0,7,57.0,84.0,192,11172,0,0,1,2,185,4,56,1,0,0,1,0,19,84,0,0,1,0.333,1.000,1,-1,1
4,0,0,0,0.009837,1,3,-129,0,1,0,0,3.86,0.10,0.09,4.9,35.0,8,50.0,82.0,809,9259,0,0,2,56,185,4,56,0,0,0,0,4,34,88,0,0,0,0.500,1.000,1,-1,1
4,0,0,0,0.009837,1,3,-166,0,1,0,0,3.78,0.27,0.39,4.8,30.0,10,47.0,78.0,7489,19448,0,0,1,19,185,4,56,1,0,0,1,2,23,91,0,0,1,0.333,1.000,1,-1,1
2,1,0,1,0.01059,-1,5,-463,0,0,0,0,4.90,0.07,0.26,5.4,50.0,11,80.0,81.0,1276,4862,0,0,3,307,770,2,304,1,0,0,0,39,29,96,0,0,0,0.125,1.000,1,107,1
2,1,0,1,0.01059,-1,5,-399,0,0,0,0,5.24,0.96,0.03,5.5,50.0,15,80.0,86.0,2968,92239,0,0,3,371,770,2,304,0,0,0,0,23,77,88,0,0,0,0.333,1.000,1,107,1
2,1,0,1,0.01059,-1,5,-433,0,0,0,0,4.35,0.37,0.04,4.5,50.0,7,76.0,76.0,1508,35071,0,0,2,337,770,2,304,1,0,0,0,10,40,87,0,0,0,0.071,1.000,1,107,1
3,0,0,0,1.48E-4,-1,-1,-1578,0,0,0,0,4.91,0.02,0.08,5.3,50.0,12,79.0,79.0,142,1892,0,0,2,16,1594,0,69,1,0,0,1,9,34,89,0,0,0,0.167,0.000,1,113,1
3,0,0,0,1.48E-4,-1,-1,-1525,0,0,0,0,4.84,0.00,0.10,5.3,50.0,11,79.0,79.0,33,320,0,0,3,69,1594,0,69,1,0,1,0,2,304,85,0,0,0,0.091,0.000,1,113,1
3,0,0,0,1.48E-4,-1,-1,-1538,0,0,0,0,4.45,0.01,0.46,4.6,50.0,7,79.0,79.0,298,642,0,0,2,56,1594,0,69,1,0,0,0,5,146,86,0,0,0,0.111,0.000,1,113,1
3,0,0,0,0.035821,-1,-1,-615,0,0,0,0,4.63,0.06,2.79,5.1,50.0,10,75.0,75.0,3903,1398,0,0,1,172,787,4,9,1,0,0,1,23,14,89,0,0,0,0.105,1.000,1,109,1
3,0,0,0,0.035821,-1,-1,-754,0,0,0,0,4.57,0.02,1.71,5.2,50.0,10,72.0,72.0,1254,733,0,0,1,33,787,4,9,1,0,0,1,2,88,84,0,0,0,0.083,1.000,1,109,1
9,0,0,0,0.999996,-1,-1,-166,0,0,0,0,4.65,0.03,0.03,5.5,50.0,12,59.0,80.0,90,3053,0,0,2,71,237,0,71,1,0,0,1,0,123,92,0,0,0,0.600,1.000,1,110,1
9,0,0,0,0.999996,-1,-1,-168,0,0,0,0,4.69,0.00,0.04,5.4,50.0,12,60.0,84.0,5,126,0,0,2,69,237,0,71,1,0,1,1,0,60,86,0,0,0,0.500,1.000,1,110,1
9,0,0,0,0.999996,-1,-1,-189,0,0,0,0,4.49,0.00,0.04,4.8,50.0,9,67.0,84.0,5,134,0,0,2,48,237,0,71,1,0,0,0,0,29,86,0,0,0,0.538,1.000,1,110,1
6,0,0,0,0.005159,-1,-1,-626,0,0,0,0,4.15,0.06,0.11,4.8,50.0,11,52.0,63.0,619,5580,0,0,1,259,885,0,-1,0,0,0,0,3,17,84,0,0,0,0.375,1.000,1,104,1
6,0,0,0,0.005159,-1,-1,-499,0,0,0,0,3.54,0.36,0.06,4.9,24.0,11,46.0,62.0,2054,33666,0,0,0,386,885,0,-1,1,0,0,1,4,25,84,0,0,0,0.500,1.000,1,104,1
8,0,0,0,0.023349,-1,-1,884,0,0,0,0,4.70,0.07,0.72,5.1,50.0,12,63.0,85.0,2951,4100,0,0,3,884,0,3,2,0,0,0,1,1,795,96,0,0,0,0.800,1.000,1,-1,1
8,0,0,0,0.023349,-1,-1,3,0,0,0,0,4.34,0.02,0.03,5.2,50.0,7,62.0,83.0,79,2287,0,0,3,3,0,3,2,1,0,0,1,0,55,88,0,0,0,0.267,1.000,1,-1,1
8,0,0,0,0.023349,-1,-1,2,0,0,0,0,4.29,0.00,0.28,5.2,50.0,9,62.0,67.0,53,188,0,0,2,2,0,3,2,1,0,0,1,1,58,92,0,0,0,0.400,1.000,1,-1,1
3,0,0,0,0.001276,-1,-1,-541,0,0,0,0,3.89,1.26,0.05,4.8,50.0,9,57.0,46.0,22889,487105,0,0,0,195,736,5,316,1,0,0,1,106,42,86,0,0,0,0.500,1.000,1,112,1
9,0,0,0,0.460835,-1,-1,-518,0,0,0,0,4.77,0.02,0.29,5.6,50.0,14,53.0,85.0,368,1276,0,0,3,619,1137,0,-1,1,0,0,1,18,57,90,0,0,0,0.750,1.000,1,-1,1
9,0,0,0,0.460835,-1,-1,-1019,0,0,0,0,3.06,0.02,0.16,3.9,25.0,11,17.0,73.0,170,1058,0,0,3,118,1137,0,-1,0,0,0,0,27,25,91,0,0,0,0.833,1.000,1,-1,1
4,0,0,0,0.001275,-1,-1,46,0,0,0,0,4.74,0.00,11.00,5.6,50.0,15,52.0,78.0,11,1,0,0,0,96,50,1,-1,1,0,0,0,0,13,0,0,0,0,1.000,1.000,1,-1,1
4,0,0,0,0.001275,-1,-1,46,0,0,0,0,4.74,0.00,11.00,5.6,50.0,15,52.0,78.0,11,1,0,0,0,96,50,1,-1,1,0,0,0,0,13,0,0,0,0,1.000,1.000,1,-1,1
9,0,0,0,0.460835,-1,-1,-518,0,0,0,0,4.77,0.02,0.29,5.6,50.0,14,53.0,85.0,368,1276,0,0,3,619,1137,0,-1,1,0,0,1,18,57,90,0,0,0,0.750,1.000,1,-1,1
9,0,0,0,0.460835,-1,-1,-1019,0,0,0,0,3.06,0.02,0.16,3.9,25.0,11,17.0,73.0,170,1058,0,0,3,118,1137,0,-1,0,0,0,0,27,25,91,0,0,0,0.833,1.000,1,-1,1
7,0,0,0,0.999999,-1,-1,-1011,0,0,0,0,4.40,0.00,0.00,5.4,42.0,9,65.0,83.0,0,369,0,0,2,77,1088,1,7,1,0,1,0,0,18,98,0,0,0,0.500,0.500,1,114,1
7,0,0,0,0.984627,-1,-1,-871,0,0,0,0,4.59,0.02,0.00,5.0,50.0,15,52.0,75.0,4,2395,0,0,2,11,882,0,91,1,0,0,0,0,93,86,0,0,0,0.600,0.500,1,105,1
7,0,0,0,0.984627,-1,-1,-624,0,0,0,0,4.45,0.33,0.11,4.9,50.0,12,50.0,84.0,3280,29854,0,0,3,258,882,0,91,1,0,0,0,1,228,94,0,0,0,0.500,0.000,1,105,1
7,0,0,0,0.984627,-1,-1,-414,0,0,0,0,4.67,0.11,0.06,4.9,50.0,15,55.0,79.0,608,9843,0,0,2,468,882,0,91,1,0,0,0,5,81,91,0,0,0,0.400,0.333,1,105,1
2,0,0,1,0.002972,-1,-1,-611,0,0,0,0,4.17,2.20,0.01,5.2,50.0,4,72.0,72.0,100000,12209725,0,0,2,7,618,0,10,0,0,1,1,599,33,84,0,0,0,0.100,1.000,1,111,1
2,0,0,1,0.002972,-1,-1,-608,0,0,0,0,4.43,0.01,356.00,4.6,50.0,8,76.0,76.0,356,0,0,0,2,10,618,0,10,1,0,0,1,16,23,84,0,0,0,0.083,1.000,1,111,1
2,0,0,1,0.002972,-1,-1,-603,0,0,0,0,4.37,0.00,240.00,4.6,50.0,7,76.0,76.0,240,0,0,0,0,15,618,0,10,1,0,1,1,1,18,0,0,0,0,0.111,1.000,1,111,1
4,0,0,0,0.004707,-1,-1,-1253,0,0,0,0,3.26,1.00,0.00,4.6,50.0,1,57.0,41.0,0,113794,0,0,2,5,1258,0,5,0,0,0,1,12,40,89,0,0,0,0.154,1.000,1,111,1
4,0,0,0,0.004707,-1,-1,-1251,0,0,0,0,3.79,0.10,0.05,5.3,50.0,8,52.0,42.0,475,9780,0,0,1,7,1258,0,5,1,0,0,0,4,64,94,0,0,1,0.222,1.000,1,111,1
6,0,0,0,0.198222,-1,-1,-145,0,0,0,0,4.75,0.00,0.00,5.3,50.0,10,78.0,78.0,0,0,0,0,3,6,151,1,17,1,0,1,1,12,259,93,0,0,0,0.083,0.000,1,110,1
7,0,0,0,0.521025,-1,-1,-51,0,0,0,0,3.71,1.43,0.09,4.4,50.0,5,38.0,84.0,37899,431827,0,0,3,169,220,2,191,1,0,0,0,147,213,90,0,0,0,0.300,1.000,1,109,1
6,0,0,0,0.342487,-1,-1,-689,0,0,0,0,4.49,1.02,0.01,5.4,50.0,10,57.0,82.0,1409,167905,0,0,2,192,881,2,256,1,0,0,1,26,126,86,0,0,0,0.429,1.000,1,-1,1
6,0,0,0,0.342487,-1,-1,-592,0,0,0,0,4.39,0.62,0.12,4.9,50.0,10,57.0,81.0,6711,54642,0,0,2,289,881,2,256,1,0,0,0,18,181,90,0,0,0,0.500,1.000,1,-1,1
6,0,0,0,0.342487,-1,-1,-639,0,0,0,0,4.02,1.21,0.12,4.7,50.0,5,57.0,81.0,20940,175240,0,0,2,242,881,2,256,1,0,0,0,1,70,91,0,0,0,0.273,1.000,1,-1,1
3,0,0,0,0.091891,-1,-1,-1216,0,0,0,0,5.18,0.01,0.08,5.5,50.0,15,80.0,81.0,88,1063,0,0,2,2,1218,2,9,1,0,0,0,5,16,82,0,0,0,1.000,1.000,1,-1,1
3,0,0,0,0.091891,-1,-1,-1214,0,0,0,0,4.32,0.02,0.03,4.7,50.0,4,80.0,82.0,42,1393,0,0,2,4,1218,2,9,0,0,0,0,14,16,87,0,0,0,0.250,1.000,1,-1,1
3,0,0,0,0.091891,-1,-1,-1209,0,0,0,0,4.25,0.13,1.68,4.7,50.0,3,80.0,82.0,5547,3293,0,0,2,9,1218,2,9,1,0,0,0,120,29,87,0,0,0,0.200,1.000,1,-1,1
4,0,1,1,0.005368,-1,-1,-493,0,0,0,0,3.77,0.18,0.01,4.6,50.0,1,57.0,84.0,201,17217,0,0,2,336,829,2,-1,1,0,0,1,22,100,89,1,0,0,0.154,1.000,1,107,1
9,0,0,0,0.129475,-1,-1,-524,0,0,0,0,4.30,0.00,1.00,5.0,50.0,10,58.0,71.0,1,0,0,0,2,6,530,4,128,1,0,0,1,0,62,89,0,0,1,0.600,1.000,1,113,1
9,0,0,0,0.129475,-1,-1,-10,0,0,0,0,4.74,0.27,0.37,5.4,50.0,12,62.0,85.0,7323,19778,0,0,3,520,530,4,128,1,0,0,1,0,103,87,0,0,0,0.312,0.500,1,113,1
9,0,0,0,0.129475,-1,-1,-528,0,0,0,0,4.71,0.02,0.01,5.5,50.0,14,52.0,83.0,14,2032,0,0,3,2,530,4,128,0,0,0,0,0,225,99,0,0,0,0.444,1.000,1,113,1
4,0,1,1,8.99E-4,-1,-1,-1,0,0,0,0,4.28,0.00,61.00,5.4,50.0,5,62.0,86.0,61,0,0,0,3,21,22,1,21,0,0,0,1,1,67,86,0,0,0,0.400,1.000,1,-1,1
4,0,1,1,8.99E-4,-1,-1,4,0,0,0,0,3.97,0.00,145.00,4.8,50.0,2,62.0,86.0,145,0,0,0,3,26,22,1,21,1,0,0,1,4,183,86,0,0,0,0.167,1.000,1,-1,1
4,0,1,1,8.99E-4,-1,-1,-1,0,0,0,0,3.90,0.00,40.00,4.4,50.0,2,63.0,85.0,40,0,0,0,3,21,22,1,21,0,0,0,1,0,160,87,0,0,0,0.111,1.000,1,-1,1
5,0,0,0,0.002068,2,5,-52,1,1,0,0,4.29,0.00,2.00,5.3,50.0,9,52.0,79.0,2,1,0,0,0,88,140,2,5,1,0,0,1,0,83,127,0,0,0,0.222,0.000,1,110,1
5,0,0,0,0.002068,2,5,-54,1,1,0,0,4.29,0.00,2.00,5.3,50.0,9,52.0,79.0,2,1,0,0,0,86,140,2,5,1,0,0,1,0,87,127,0,0,0,0.222,0.000,1,110,1
5,0,0,0,0.002068,2,5,-53,1,1,0,0,4.29,0.00,2.00,5.3,50.0,9,52.0,79.0,2,1,0,0,0,87,140,2,5,1,0,0,1,0,81,129,0,0,0,0.222,0.000,1,110,1
8,0,0,0,0.039206,-1,-1,172,0,0,0,0,4.56,1.12,0.08,5.6,50.0,15,52.0,63.0,10923,137314,0,0,0,334,162,3,92,0,0,1,0,33,8,30,0,0,0,1.000,1.000,1,-1,1
8,0,0,0,0.039206,-1,-1,-70,0,0,0,0,4.08,0.02,0.49,4.8,50.0,8,60.0,64.0,672,1365,0,0,2,92,162,3,92,1,0,0,0,0,88,86,0,0,1,0.500,1.000,1,-1,1
9,0,0,0,1.0,-1,-1,-287,0,0,0,0,4.45,0.01,0.20,4.8,50.0,9,65.0,83.0,182,915,0,0,2,214,501,0,88,1,0,0,1,1,40,97,0,0,0,0.364,1.000,1,-1,1
9,0,0,0,1.0,-1,-1,-118,0,0,0,0,4.40,0.28,0.03,4.7,50.0,11,54.0,83.0,851,26242,0,0,2,383,501,0,88,1,0,0,0,15,49,93,0,0,0,0.333,1.000,1,-1,1
