f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,label
6,0,0,0,0.415036,-1,-1,-972,0,0,0,0,3.22,0.04,0.24,3.9,50.0,4,52.0,38.0,544,2297,0,0,2,363,1335,2,34,0,0,0,0,24,81,90,0,0,0,0.250,1.000,1,109,1
2,0,1,1,0.011578,5,9,-1793,0,0,0,0,4.90,0.00,0.00,5.3,50.0,11,80.0,83.0,0,0,0,0,0,3,1796,1,10,1,0,0,1,0,14,34,0,0,0,0.250,1.000,1,106,1
2,0,1,1,0.011578,5,9,-1786,0,0,0,0,4.66,0.15,8386.00,5.4,50.0,7,80.0,83.0,8386,0,0,0,3,10,1796,1,10,1,0,0,1,198,76,84,0,0,0,0.167,1.000,1,106,1
2,1,0,0,0.001099,10,5,-35,0,0,0,0,4.45,1.04,0.01,5.2,50.0,7,75.0,75.0,3431,300653,0,0,2,4,39,3,0,1,0,0,1,4,63,97,0,0,0,0.077,1.000,1,113,1
2,1,0,0,0.001099,10,5,-26,0,0,0,0,4.51,0.13,11300.00,4.6,50.0,8,79.0,79.0,11300,0,0,0,3,13,39,3,0,1,0,0,1,38,121,86,0,0,0,0.091,1.000,1,113,1
2,0,1,1,0.011578,5,9,-1787,0,0,0,0,4.25,0.01,801.00,4.6,50.0,6,74.0,74.0,801,0,0,0,0,9,1796,1,10,0,0,1,1,3,15,39,0,0,0,0.133,1.000,1,106,1
6,0,0,0,0.438213,-1,-1,-642,0,0,0,0,4.75,0.02,0.01,5.5,50.0,15,63.0,66.0,25,2110,0,0,1,21,663,0,39,1,0,0,0,1,35,90,0,0,0,0.400,1.000,1,114,1
6,0,0,0,0.438213,-1,-1,-224,0,0,0,0,4.68,0.62,0.01,5.5,50.0,15,57.0,68.0,582,61036,0,0,0,439,663,0,39,1,0,0,0,3,15,78,0,0,0,0.667,1.000,1,114,1
6,0,0,0,0.438213,-1,-1,-379,0,0,0,0,4.76,0.01,0.05,5.6,50.0,15,62.0,67.0,45,841,0,0,2,284,663,0,39,0,0,0,1,0,40,85,0,0,0,1.000,1.000,1,114,1
6,0,0,0,0.999995,-1,-1,128,0,0,0,0,4.89,0.00,213.00,5.5,50.0,14,63.0,84.0,213,0,0,0,2,1255,1127,0,12,0,0,0,1,0,16,94,0,0,0,0.750,1.000,1,103,1
6,0,0,0,0.999995,-1,-1,-1076,0,0,0,0,3.57,0.00,0.00,4.4,22.0,11,48.0,73.0,0,0,0,0,1,51,1127,0,12,1,0,0,1,0,45,93,0,0,1,0.400,1.000,1,103,1
10,0,1,1,0.012723,-1,-1,23,0,0,0,0,3.91,0.02,0.21,5.2,50.0,9,55.0,44.0,354,1699,0,0,1,163,140,2,68,1,0,0,0,13,33,89,0,0,0,0.333,1.000,1,-1,1
10,0,1,1,0.012723,-1,-1,-113,0,0,0,0,3.99,0.21,0.04,5.4,50.0,9,57.0,45.0,805,20529,0,0,1,27,140,2,68,0,0,0,0,1,48,91,0,0,0,0.500,1.000,1,-1,1
4,0,0,0,0.001997,-1,-1,-189,0,0,0,0,3.22,0.00,0.00,4.9,10.0,6,50.0,82.0,0,0,0,0,3,6,195,1,4,1,0,0,1,0,111,87,0,0,1,0.333,1.000,1,110,1
9,0,0,0,0.0,-1,-1,-429,0,0,0,0,4.74,0.02,0.14,5.6,50.0,15,52.0,78.0,282,1971,0,0,2,836,1265,1,36,1,0,0,0,0,97,91,0,0,0,1.000,1.000,1,105,1
