@relation 'tmp_1w-weka.filters.unsupervised.attribute.Remove-R2-11,14-21,23,25-35,37-55'

@attribute pageShowType {class0,class1}
@attribute ' pMaxMr' numeric
@attribute ' pMaxTr' numeric
@attribute ' isOnlyOneTerm' {FALSE,TRUE}
@attribute ' isArticleOld' {FALSE,TRUE}
@attribute ' maxRNum' numeric

@data
class0,50,5.2,FALSE,FALSE,71423
class0,50,5.2,FALSE,FALSE,71423
class0,50,5.5,FALSE,FALSE,14978
class0,35,5,FALSE,FALSE,79
class0,50,4.8,FALSE,FALSE,30181
class0,50,4.8,FALSE,FALSE,21804
class0,50,5.6,FALSE,FALSE,581
class0,50,5.3,TRUE,TRUE,12438
class0,50,5.4,FALSE,FALSE,2111
class0,28,4,FALSE,FALSE,3423
class0,50,4.6,FALSE,FALSE,4321
class0,19,4,FALSE,TRUE,56
class0,50,5.4,FALSE,FALSE,90365
class0,50,5.4,FALSE,FALSE,64626
class0,50,5.6,FALSE,FALSE,7
class0,50,5.4,FALSE,FALSE,30755
class0,29,4.9,FALSE,FALSE,10310
class0,50,5.4,FALSE,FALSE,100000
class0,50,5.4,FALSE,FALSE,30755
class0,29,4.3,FALSE,FALSE,16588
class0,50,5.6,FALSE,FALSE,1183
class0,50,4.3,FALSE,FALSE,1409
class0,50,5.4,FALSE,FALSE,6633
class0,50,4.9,FALSE,FALSE,100
class0,50,4.8,FALSE,FALSE,21804
class0,50,5.4,FALSE,FALSE,2506
class0,35,4.5,FALSE,FALSE,32
class0,50,5,FALSE,FALSE,13522
class0,24,4,FALSE,FALSE,499
class0,24,4,FALSE,FALSE,499
class0,50,5.3,TRUE,TRUE,13890
class0,50,4.9,FALSE,FALSE,999
class0,41,4.3,FALSE,FALSE,1422
class0,50,5.2,TRUE,FALSE,60457
class0,50,5.4,FALSE,TRUE,98115
class0,50,4.6,FALSE,FALSE,1644
class0,17,3.9,FALSE,FALSE,951
class0,50,5.5,FALSE,FALSE,38524
class0,50,4.8,FALSE,FALSE,68606
class0,50,5.4,FALSE,FALSE,2056
class0,50,5.6,FALSE,FALSE,100000
class0,50,4.8,FALSE,FALSE,141
class0,50,4.9,FALSE,FALSE,3957
class0,50,4.9,FALSE,FALSE,417
class0,26,3.9,FALSE,FALSE,12
class0,26,3.9,FALSE,FALSE,12
class0,50,5,FALSE,TRUE,246
class0,25,4.3,FALSE,FALSE,1809
class0,50,5.6,FALSE,FALSE,2532
class0,50,5.7,FALSE,FALSE,651
class0,25,4,FALSE,FALSE,25
class0,50,5.3,FALSE,FALSE,3170
class0,29,4,FALSE,FALSE,1621
class0,38,4.6,FALSE,FALSE,2403
class0,50,5.5,FALSE,FALSE,196
class0,45,4.9,FALSE,FALSE,714
class0,50,5.6,FALSE,FALSE,437
class0,50,5.6,FALSE,FALSE,7
class0,50,5.6,FALSE,FALSE,437
class0,25,4,FALSE,TRUE,11768
class0,50,5.4,FALSE,FALSE,3989
class0,31,5.1,FALSE,FALSE,62
class0,10,4.7,FALSE,FALSE,100000
class0,30,4.7,FALSE,FALSE,6384
class0,29,3.8,FALSE,FALSE,29
class0,50,5,FALSE,FALSE,730
class0,44,4.1,FALSE,FALSE,329
class0,35,4.5,FALSE,FALSE,508
class0,50,5.6,FALSE,FALSE,437
class0,50,4.9,FALSE,FALSE,100000
class0,50,5.4,FALSE,FALSE,20798
class0,50,4.8,FALSE,FALSE,48
class0,31,4.6,FALSE,FALSE,6664
class0,26,3.9,FALSE,FALSE,0
class0,35,4,FALSE,FALSE,1866
class0,30,4.4,FALSE,FALSE,468
class0,50,5.3,FALSE,FALSE,100000
class0,20,4,FALSE,FALSE,440
class0,31,4.1,FALSE,TRUE,48968
class0,31,4.1,FALSE,TRUE,48968
class0,50,5.4,FALSE,FALSE,687
class0,9,3.8,FALSE,FALSE,632
class0,29,3.9,FALSE,FALSE,116
class0,50,5.6,FALSE,FALSE,14192
class0,38,4.6,FALSE,FALSE,15209
class0,38,4.8,FALSE,FALSE,52910
class0,50,5.4,FALSE,FALSE,100000
class0,31,4.5,FALSE,FALSE,1014
class0,50,4.9,FALSE,FALSE,21181
class0,37,4.9,FALSE,FALSE,73496
class0,50,5.3,FALSE,FALSE,53173
class0,50,5.2,FALSE,FALSE,91270
class0,50,5.4,FALSE,TRUE,36257
class0,43,4.9,FALSE,FALSE,2826
class0,50,5.4,FALSE,FALSE,100000
class0,50,5.6,FALSE,FALSE,43
class0,50,5.6,FALSE,FALSE,100000
class0,44,4.6,FALSE,FALSE,100000
class0,50,4.8,FALSE,FALSE,290
class0,50,5.5,FALSE,FALSE,150
class0,45,4.6,FALSE,FALSE,10976
class0,50,4.7,FALSE,FALSE,100000
class0,50,5.3,FALSE,FALSE,60248
class0,50,5.4,TRUE,TRUE,8126
class0,50,5.1,FALSE,FALSE,1693
class0,50,5.4,FALSE,TRUE,30
class0,50,5.4,FALSE,FALSE,2986
class0,50,5.3,FALSE,TRUE,51335
class0,50,5.2,FALSE,FALSE,100000
class0,50,5.3,FALSE,FALSE,1440
class0,50,5.6,FALSE,TRUE,38875
class0,50,5.2,FALSE,FALSE,100000
class0,50,5.6,FALSE,FALSE,49
class0,30,4,FALSE,FALSE,3615
class0,50,5.2,FALSE,FALSE,100000
class0,50,5.2,FALSE,FALSE,100000
class0,50,4.7,FALSE,FALSE,100000
class0,50,4.7,FALSE,FALSE,15084
class0,24,3.9,FALSE,FALSE,1
class0,20,4.1,FALSE,FALSE,55
class0,50,5.4,FALSE,FALSE,16675
class0,50,5.6,FALSE,FALSE,1725
class0,50,3,FALSE,FALSE,100000
class0,50,5.3,FALSE,FALSE,16824
class0,50,5.1,FALSE,FALSE,36472
class0,50,5.1,FALSE,FALSE,36472
class0,50,5.6,FALSE,FALSE,91401
class0,50,4.8,FALSE,TRUE,28603
class0,50,5.3,FALSE,FALSE,70
class0,38,4.8,FALSE,FALSE,0
class0,50,5.7,FALSE,FALSE,1533
class0,50,5.3,FALSE,TRUE,22779
class0,50,5.4,FALSE,FALSE,100000
class0,25,4.2,FALSE,FALSE,14538
class0,50,4.7,FALSE,FALSE,72960
class0,50,4.5,FALSE,FALSE,100000
class0,50,5.4,FALSE,FALSE,100000
class0,29,4.5,FALSE,FALSE,434
class0,24,4.8,FALSE,TRUE,100000
class0,50,5.6,FALSE,FALSE,100000
class0,41,4.5,FALSE,FALSE,4331
class0,29,4,FALSE,FALSE,484
class0,50,5.4,FALSE,FALSE,31931
class0,28,4,FALSE,FALSE,14186
class0,45,4.6,FALSE,FALSE,14908
class0,50,5.4,FALSE,FALSE,696
class0,50,5.1,FALSE,FALSE,100000
class0,50,4.9,FALSE,FALSE,14056
class0,32,4.9,FALSE,FALSE,45600
class0,50,4.9,FALSE,FALSE,5325
class0,50,5.2,FALSE,TRUE,100000
class0,21,3.8,FALSE,FALSE,1208
class0,50,4.6,FALSE,FALSE,100000
class0,48,4.6,FALSE,FALSE,2692
class0,50,5.6,FALSE,FALSE,14192
class0,50,5.2,FALSE,FALSE,2748
class0,30,4.2,FALSE,FALSE,448
class0,50,5.7,FALSE,FALSE,89117
class0,50,5.1,FALSE,FALSE,1847
class0,50,5.1,FALSE,FALSE,1201
class0,26,3.9,FALSE,FALSE,0
class0,50,5.4,FALSE,FALSE,70756
class0,50,5.2,FALSE,FALSE,6974
class0,42,4.7,FALSE,FALSE,649
class0,43,4.9,FALSE,FALSE,100000
class0,43,4.9,FALSE,FALSE,100000
class0,50,4.9,FALSE,FALSE,271
class0,30,4.7,FALSE,FALSE,106
class0,50,5.6,FALSE,FALSE,92
class0,50,5.3,FALSE,FALSE,24585
class0,50,5.5,FALSE,FALSE,7906
class0,45,5,FALSE,FALSE,15483
class0,50,5.3,FALSE,FALSE,3204
class0,45,4.9,FALSE,FALSE,4004
class0,33,4.8,FALSE,FALSE,60
class0,50,5.4,FALSE,FALSE,70756
class0,50,5.6,FALSE,FALSE,10487
class0,50,5.4,FALSE,FALSE,100000
class0,15,3.4,FALSE,TRUE,3046
class0,33,4.8,FALSE,FALSE,60
class0,50,5.4,FALSE,FALSE,2738
class0,50,5.6,FALSE,FALSE,12876
class0,50,5.5,FALSE,FALSE,2241
class0,30,4.4,FALSE,FALSE,1572
class0,50,4.7,FALSE,FALSE,13079
class0,50,5.4,FALSE,FALSE,100000
class0,50,4.9,FALSE,FALSE,856
class0,28,4.1,FALSE,FALSE,1793
class0,50,4.9,FALSE,FALSE,690
class0,7,2.6,FALSE,FALSE,12360
class0,50,5.6,FALSE,FALSE,75
class0,36,4.5,FALSE,TRUE,1030
class0,35,4.8,FALSE,FALSE,1101
class0,50,5.7,FALSE,FALSE,6127
class0,42,4.4,FALSE,FALSE,27168
class0,50,5.5,FALSE,FALSE,5298
class0,50,4.9,FALSE,TRUE,100000
class0,50,5.6,FALSE,FALSE,4998
class0,50,5.6,FALSE,FALSE,991
class0,34,4.1,FALSE,FALSE,215
class0,50,5.5,FALSE,FALSE,1564
class0,50,5.2,FALSE,FALSE,2237
class0,50,5.7,FALSE,FALSE,49750
class0,31,4.8,FALSE,FALSE,294
class0,50,5.5,FALSE,FALSE,82210
class0,50,5.4,FALSE,FALSE,2086
class0,50,5.4,FALSE,FALSE,2986
class0,50,5.6,FALSE,FALSE,344
class0,23,3.9,FALSE,FALSE,319
class0,50,5.3,FALSE,TRUE,1291
class0,24,4,FALSE,FALSE,499
class0,27,4.5,FALSE,FALSE,242
class0,50,4.7,FALSE,FALSE,148
class0,50,5.3,FALSE,FALSE,100000
class0,22,4.2,FALSE,FALSE,33
class0,50,4.7,FALSE,FALSE,994
class0,50,5.4,FALSE,FALSE,7693
class0,50,5.4,FALSE,FALSE,7693
class0,19,3.9,FALSE,FALSE,260
class0,50,5.4,FALSE,FALSE,62
class0,50,5.3,FALSE,FALSE,100000
class0,50,4.6,FALSE,FALSE,71
class0,49,4.4,FALSE,FALSE,1688
class0,28,4.5,FALSE,FALSE,2005
class0,50,5.4,FALSE,FALSE,25503
class0,50,5.3,FALSE,FALSE,2397
class0,50,5.3,TRUE,FALSE,100000
class0,50,5.4,FALSE,FALSE,100000
class0,21,4,FALSE,FALSE,89
class0,50,5.6,FALSE,FALSE,2980
class0,50,5.6,FALSE,FALSE,36465
class0,50,5.5,FALSE,FALSE,60
class0,38,4,FALSE,FALSE,106
class0,50,5.4,FALSE,FALSE,6271
class0,50,5.4,FALSE,FALSE,14345
class0,50,5.3,FALSE,FALSE,5602
class0,50,5.6,FALSE,FALSE,11911
class0,50,4.2,FALSE,FALSE,17
class0,50,5.3,FALSE,FALSE,16824
class0,20,4,FALSE,FALSE,626
class0,34,5.4,FALSE,FALSE,11001
class0,24,4,FALSE,TRUE,65
class0,50,5.3,FALSE,FALSE,930
class0,50,4.8,FALSE,FALSE,264
