@relation tmp

@attribute oldpos_page numeric
@attribute articlesPos numeric
@attribute newspos numeric
@attribute list.size() numeric
@attribute pMaxMr numeric
@attribute pMaxTr numeric
@attribute isOfficial {FALSE,TRUE}
@attribute isFirstSite {FALSE,TRUE}
@attribute isOnlyOneTerm {FALSE,TRUE}
@attribute isNav {FALSE,TRUE}
@attribute isExNav {FALSE,TRUE}
@attribute fixRank1 numeric
@attribute site_num numeric
@attribute pageShowType {FALSE,TRUE}
@attribute vr_num_3_out numeric
@attribute vr_num_3_total numeric
@attribute weixinArticleClickPos numeric
@attribute firstBaikePos numeric
@attribute isFirstVideo {FALSE,TRUE}
@attribute isArticleOld {FALSE,TRUE}
@attribute queryTerms numeric
@attribute wxArticle_top3fr numeric
@attribute wxArticle_top2fr numeric
@attribute pMaxFr numeric
@attribute firstDate numeric
@attribute hasTimeliness {FALSE,TRUE}
@attribute avg3 numeric
@attribute rnum[0] numeric
@attribute maxRNum numeric
@attribute fans[0] numeric
@attribute maxFans numeric
@attribute avgread[0] numeric
@attribute maxAvgRead numeric
@attribute avgpublish[0] numeric
@attribute maxAvgPublish numeric
@attribute hasMingyiVr {FALSE,TRUE}

@data
15,5,-1,15,50,5.7,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,2,2,-1,12,FALSE,FALSE,4,11.666667,10,15,359,FALSE,0,5889,6794,28862,28862,7820,8317,90,90,FALSE
11,5,-1,11,50,5.5,FALSE,TRUE,FALSE,TRUE,FALSE,0,5,FALSE,0,1,239,10,FALSE,FALSE,4,8.5,8.5,10,356,FALSE,1,1270,1270,977,1332,0,0,0,0,FALSE
10,8,-1,10,50,4.8,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,7,FALSE,FALSE,2,9,9,9,678,FALSE,555,79,79,0,0,0,0,0,0,FALSE
10,3,-1,10,9,3.8,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,-1,FALSE,FALSE,10,6,6,7,339,FALSE,543,1307,1900,36782,42524,2069,2069,155,155,FALSE
11,4,-1,11,50,5.3,TRUE,TRUE,FALSE,TRUE,TRUE,0,2,FALSE,0,0,-1,2,FALSE,FALSE,1,4.333333,3.5,6,104,FALSE,121,30306,30306,196943,610200,25664,25664,89,224,FALSE
17,-1,-1,17,50,5.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,2,2,-1,14,FALSE,FALSE,1,7.333333,8.5,10,493,FALSE,885,7890,20585,52683,173487,3430,14222,1,82,FALSE
10,7,-1,10,50,5.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,1,FALSE,FALSE,2,5,4.5,7,193,FALSE,1026,1570,1570,94978,94978,4703,4703,163,163,FALSE
11,-1,-1,11,50,4.8,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,1,1,-1,7,FALSE,FALSE,2,4,4.5,7,0,FALSE,438,0,1606,71628,90003,2715,2715,226,226,FALSE
10,4,-1,10,25,3.9,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,-1,FALSE,FALSE,5,6,6,6,704,FALSE,353,35,35,122,122,19,19,2,2,FALSE
10,3,-1,10,30,4.2,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,-1,FALSE,FALSE,6,5,4.5,6,634,FALSE,501,43545,43545,29549,86222,3175,3175,60,90,FALSE
12,-1,-1,12,50,5.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,0,1,237,0,FALSE,FALSE,2,4.333333,3,7,181,FALSE,59,25484,100000,399658,399658,9039,29636,95,121,FALSE
12,-1,-1,12,50,5.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,1,-1,0,FALSE,FALSE,2,10.666667,9.5,13,7,FALSE,20,35,3171,618,24921,54,2208,13,63,FALSE
